brands,categories,code,countries,image_url,ingredients_text,labels,nova_group,nutriscore_grade,nutrition_grades,packaging,product_name,quantity
Pot Noodle,"Cereals and their products, Instant noodle soups, Pot noodles",5000118203497,"France, Ireland, United Kingdom",https://images.openfoodfacts.org/images/products/500/011/820/3497/front_en.72.400.jpg,"Noodle mix (95%): Dried noodles (70%) [WHEAT flour (contains calcium carbonate iron, niacin, thiamin), palm oil, salt, firming agents (potassium carbonate, sodium carbonates), maltodextrin, WHEAT flour, yeast extract, flavour enhancers (monosodium glutamate, disodium inosinate, disodium guanylate), tomatoest (1.2%), sugar, peast, tomato powder (08%), salt, flavourings, palm fat, hydrolysed vegetable protein (SOY), onion powdert potato starch, acid (citric acid), garlic, soy sauce (SOYBEANS, WHEAT), sunflower oil. Sauce sachet (5%): Tomato sauce [water, spirit vinegar, tomato paste' (18%), sugar, e Qurose syrup,salt, modified corn starch].","No preservatives, Vegan, European Vegetarian Union Vegetarian, Green Dot, No artificial colours and preservatives, No colorings, vegetarien",4.0,c,c,"Plastic, Foil-lid, Ldpe-packet, Pp-pot",Pot Noodle Beef & Tomato flavour,90 g
シマダヤ,"Noodles, Udon",4901790065131,Japan,https://images.openfoodfacts.org/images/products/490/179/006/5131/front_ja.5.400.jpg,"Wheat flour, salt / modified starch, acidulant",,4.0,unknown,unknown,,“大鼓判”日本产小麦乌冬面 3份装,3 x 180g
Maggi,Instant noodles,8445291174955,France,https://images.openfoodfacts.org/images/products/844/529/117/4955/front_fr.102.400.jpg,"Nouilles rissolées 73,3% : farine de BLÉ, huile de tournesol, sel, GLUTEN de BLÉ, stabilisant (polyphosphates), correcteur d'acidité (carbonates de potassium) ; Sauce d'assaisonnement 26,7% : fécules, sucre, sel, sauce SOJA, extrait de levure, arômes (MOUTARDE, OEUFS), carotte 0,6%, poireau 0,6%, ail, sirop de sucre caramélisé, oignon, ciboulette, piment, coriandre, huile de tournesol, gingembre, carvi. Peut contenir : CÉLERI, LAIT, SÉSAME.",Triman,4.0,c,c,,Nouilles instantanées sauce poulet sésame,75 g
Lustucru selection,"Gnocchi of durum wheat semolina, Cooked gnocchis",3240931548722,France,https://images.openfoodfacts.org/images/products/324/093/154/8722/front_fr.4.400.jpg,"Purée (eau, pommes de terre déshydratées, épice : curcuma), semoule de BLE, farine de BLE, huile de colza, sel. Peut contenir des traces de lait, œufs, soja, moutarde et gluten provenant d'autres céréales. Conditionné sous atmosphère protectrice.",Nutriscore Grade B,3.0,unknown,unknown,,Lustucru lot 2 gnocchi a poeler star 300g 1 achete 2eme 68% x4,600 g
Auchan,fr:Coquillettes,3596710546633,France,https://images.openfoodfacts.org/images/products/359/671/054/6633/front_fr.45.400.jpg,"Semoule de BLÉ dur complète. Traces éventuelles d'œufs, de soja et de moutarde.",Nutriscore Grade A,1.0,a,a,,Coquillettes au blé complet integrales,0.5 kg
San remo,Pastas,9310155101332,"Australia, Singapore",https://images.openfoodfacts.org/images/products/931/015/510/1332/front_en.11.400.jpg,Durum Wheat Semolina.,"Halal, No GMOs, No preservatives, Vegan, No added sugar",1.0,a,a,,San remo angel hair no. 9 500g,500 g
Coop,Potato gnocchi,8001120891402,"Italy, Spain",https://images.openfoodfacts.org/images/products/800/112/089/1402/front_it.9.400.jpg,"Patate reidratate 91% [acqua, fiocchi di patate (patate, emulsionanti: mono - e digliceridi degli acidi grassi; antiossidanti (acido citrico, metabisolfito di sodio); curcuma, estratto di paprika)], amido di piselli, semola rimacinata di grano duro 3,4%, sale, correttore di acidità: acido citrico; conservante: acido sorbico; aromi naturali. Può contenere soia, latte e senape.",,4.0,c,c,,Gnocchetti di patate freschi,500g
Sgambaro,"Dry pastas, Durum wheat spaghetti",8009385331053,"France, Germany, Italy",https://images.openfoodfacts.org/images/products/800/938/533/1053/front_en.17.400.jpg,Semolina,"Halal, it:Grano duro italiano",1.0,a,a,,Spaghetti n°5,500g
Payless,Instant noodles,4800016556807,Philippines,https://images.openfoodfacts.org/images/products/480/001/655/6807/front_en.12.400.jpg,"Noodles: Wheat Flour, Vegetable Oil (Palm Oil, Green Tea Extract), Salt, Stabilizer (Guar Gum), Acidity Regulators (Sodium Carbonate, Potassium Carbonate), Emulsifier (Polyphosphate). 
Seasoning: Sugar, Coconut Oil, Soy Sauce (Water, Soybeans, Salt, Potassium Sorbate), Salt, Flavor Enhancers (Monosodium Glutamate, Disodium 5'-Inosinate, Disodium 5'-Guanylate), Spices (Red Pepper, Onion, Garlic), Artificial Flavors, Hydrolyzed Soy Protein, Color (Caramel Color, Paprika Extract), Anticaking Agent (Silicon Dioxide).",,4.0,e,e,,payless pc kalamansi 128g,130 g
Payless,Instant noodles,4800016555985,Philippines,https://images.openfoodfacts.org/images/products/480/001/655/5985/front_en.19.400.jpg,"Noodles: Wheat Flour, Vegetable Oil (Palm Oil, Green Tea Extract), Salt, Stabilizer (Guar Gum), Acidity Regulators (Sodium Carbonate, Potassium Carbonate), Emulsifier (Polyphosphate). Seasoning: Coconut Oil, Soy Sauce (Water, Soybeans, Salt, Potassium Sorbate), Sugar, Flavor Enhancers (Monosodium Glutamate, Disodium 5'-Inosinate, Disodium 5'-Guanylate), Salt, Spices (Onion, Garlic), Artificial Flavors, Citric Acid, Hydrolyzed Soy Protein, Color (Caramel Color), Dehydrated Chives, Anticaking Agent (Silicon Dioxide)",,4.0,e,e,,Xtra Big Pancit Canton Kalamansi,125 g
